,Date,Opponent,Score,Goals,Assists,Points,Shots,Shot%,SOG,SOG%,Yellow-Red Card,GW,PK-ATT,Min,Location,Conference,Playoff
,8/30/2019,at Mitchell,3-2,3,3,9,15,0.200,7,0.467,0-0,1,0-0,991,A,0,0
,9/1/2019,vs Old Westbury,3-2,3,2,8,25,0.120,8,0.320,0-0,1,0-0,992,H,0,0
,9/7/2019,vs Vassar,1-0,1,1,3,11,0.091,1,0.091,0-0,1,0-0,990,H,0,0
,9/8/2019,vs Springfield,2-0,2,2,6,16,0.125,10,0.625,0-0,1,0-0,990,H,0,0
,9/11/2019,vs John Jay,2-0,2,2,6,30,0.067,10,0.333,0-0,1,0-0,990,H,0,0
,9/14/2019,at Rutgers-Newark,2-1,2,3,7,19,0.105,6,0.316,1-0,1,0-0,992,A,0,0
,9/18/2019,at Franklin & Marshall,0-1,0,0,0,13,0.000,5,0.385,2-0,0,0-0,1067,A,0,0
,9/21/2019,at Stevenson,1-1,1,1,3,18,0.056,6,0.333,2-0,0,0-0,1211,A,0,0
,9/25/2019,at TCNJ,1-2,1,2,4,11,0.091,5,0.455,2-0,0,0-0,990,A,0,0
,9/28/2019,at NYU,1-2,1,0,2,9,0.111,3,0.333,0-0,0,0-0,1136,A,0,0
,10/5/2019,at Misericordia,0-0,0,0,0,18,0.000,8,0.444,1-0,0,0-0,1209,A,1,0
,10/12/2019,vs Wilkes,4-0,4,3,11,23,0.174,10,0.435,2-0,1,0-0,991,H,1,0
,10/16/2019,vs FDU- Florham,3-0,3,2,8,26,0.115,12,0.462,0-0,1,0-0,991,H,1,0
,10/19/2019,at King's (PA),2-1,2,1,5,8,0.250,3,0.375,0-0,1,0-0,990,A,1,0
,10/22/2019,vs DeSales,2-1,2,0,4,27,0.074,9,0.333,2-0,1,0-1,991,H,1,0
,10/26/2019,at Delaware Valley,3-0,3,3,9,21,0.143,12,0.571,0-0,1,0-0,991,A,1,0
,11/2/2019,vs Eastern,1-0,1,1,3,8,0.125,5,0.625,0-0,1,0-0,990,H,1,0
,11/6/2019,vs King's (PA),1-2,1,1,3,21,0.048,4,0.190,1-0,0,0-0,990,H,1,1
