,Date,Opponent,Score,Goals,Assists,Points,Shots,Shot%,SOG,SOG%,Yellow-Red Card,GW,PK-ATT,Min,Location,Conference,Playoff
,8/30/2019,Mitchell,2-3,2,3,7,9,0.222,4,0.444,2-0,0,0-0,991,A,0,0
,9/1/2019,Old Westbury,2-3,2,1,5,5,0.400,2,0.400,1-0,0,0-0,991,H,0,0
,9/7/2019,Vassar,0-1,0,0,0,10,0.000,1,0.100,3-0,0,0-0,1006,H,0,0
,9/8/2019,Springfield,0-2,0,0,0,5,0.000,2,0.400,2-0,0,0-0,1018,H,0,0
,9/11/2019,John Jay,0-2,0,0,0,5,0.000,2,0.400,0-0,0,0-0,990,H,0,0
,9/14/2019,Rutgers-Newark,1-2,1,0,2,13,0.077,4,0.308,2-0,0,0-0,991,A,0,0
,9/18/2019,Franklin & Marshall,1-0,1,2,4,23,0.043,5,0.217,0-0,1,0-0,1118,A,0,0
,9/21/2019,Stevenson,1-1,1,0,2,13,0.077,3,0.231,1-0,0,0-0,1211,A,0,0
,9/25/2019,TCNJ,2-1,2,1,5,8,0.250,3,0.375,3-0,1,0-0,990,A,0,0
,9/28/2019,NYU,2-1,2,2,6,22,0.091,10,0.455,1-0,1,0-0,1152,A,0,0
,10/5/2019,Misericordia,0-0,0,0,0,10,0.000,3,0.300,1-0,0,0-0,1211,A,1,0
,10/12/2019,Wilkes,0-4,0,0,0,6,0.000,1,0.167,6-0,0,0-0,992,H,1,0
,10/16/2019,FDU- Florham,0-3,0,0,0,8,0.000,2,0.250,2-0,0,0-0,1001,H,1,0
,10/19/2019,King's (PA),1-2,1,1,3,8,0.125,5,0.625,1-0,0,0-0,990,A,1,0
,10/22/2019,DeSales,1-2,1,2,4,6,0.167,1,0.167,2-1,0,0-0,963,H,1,0
,10/26/2019,Delaware Valley,0-3,0,0,0,2,0.000,1,0.500,2-0,0,0-0,988,A,1,0
,11/2/2019,Eastern,0-1,0,0,0,3,0.000,2,0.667,0-0,0,0-0,1006,H,1,0
,11/6/2019,King's (PA),2-1,2,2,6,9,0.222,7,0.778,2-0,1,0-0,989,H,1,1
